anis=3.455
at_mpi=0.06906
P=1
J=1

V mom irrep E err
V16 000 T1p 0.221142 0.001018
V16 001 A2 0.229453 0.001774
V16 002 A2 0.228325 0.002273
V16 011 A2 0.239878 0.001680
V16 111 A2 0.242686 0.001409
V16 111 A2 0.261450 0.001056 
V16 111 A2 0.268759 0.001078
V20 000 T1p 0.222664 0.001563
V20 001 A2 0.231140 0.001388
V20 001 A2 0.248796 0.001477
V20 002 A2 0.231586 0.001688
V20 011 A2 0.234693 0.001588
V20 011 A2 0.253440 0.001021
V20 011 A2 0.261519 0.001013
V20 111 A2 0.240710 0.001011
V20 111 A2 0.254488 0.001247
V20 111 A2 0.261300 0.001296
V24 000 T1p 0.223098 0.000820
V24 000 T1p 0.247529 0.000698
V24 000 T1p 0.248084 0.000604
V24 001 A2 0.229821 0.000978
V24 001 A2 0.244768 0.000937
V24 001 A2 0.253528 0.000761
V24 001 A2 0.251690 0.000866
V24 002 A2 0.229725 0.001362
V24 002 A2 0.242958 0.000935
V24 011 A2 0.234459 0.000618
V24 011 A2 0.247305 0.000741
V24 011 A2 0.256338 0.000785
V24 011 A2 0.254850 0.000781
V24 011 A2 0.262336 0.000919
V24 111 A2 0.234565 0.002364
V24 111 A2 0.244307 0.001444
V24 111 A2 0.260540 0.001024
V24 111 A2 0.256522 0.001137
V24 111 A2 0.264700 0.000838
